Method,Residual ↓,Improvement ↑,New Vtx ↓,New Faces ↓,Avg Quality ↑,Locality ↑,CD ↓,HD ↓
Center-fan,0.0,39.95167077206399,43.75,1761.3690476190477,0.26705662572764943,0.6656149054721329,0.08162859806695931,0.6025173740120254
Planar + RPA,1.938363450977016,38.01330732108697,0.0,1656.9404761904761,0.4341369227475744,0.6710318527432467,0.08114383821534932,0.6025159966216451
Planar + LH-only,38.25689445283536,1.6947763192286307,0.0,96.19047619047619,0.41217425426416066,0.5716977473034655,0.07986774423834542,0.6040431200005264
Trimesh fill-all,35.81388683607662,4.1377839359873665,0.0,66.70238095238095,0.11905908097168699,0.06568582319803008,0.07901695674816385,0.603996839098862
Adv-front + RPA,0.0,26.248968997790183,0.0,1425.6041666666667,0.44060173311424067,0.717384532553227,0.079703244345096,0.5890821615387082
Poisson recon,2.8912216832297366,37.06044908883425,1400.2380952380952,2403.035714285714,0.0,0.0,0.09736370088063694,0.602786688670537
