Method,Residual ↓,Improvement ↑,New Vtx ↓,New Faces ↓,Avg Quality ↑,Min Quality ↑
Center-fan,0.0,39.95167077206399,43.75,1761.3690476190477,0.26705662572764943,0.07253428184698962
Planar + RPA,1.938363450977016,38.01330732108697,0.0,1656.9404761904761,0.4341369227475744,0.13328987240143786
Planar + LH-only,38.25689445283536,1.6947763192286307,0.0,96.19047619047619,0.41217425426416066,0.20155073445649668
