Method,Chamfer Dist ↓,Hausdorff ↓,Dev Mean ↓,Dev Max ↓
Center-fan,0.08162859806695931,0.6025173740120254,0.012363688535963943,0.05797172011730364
Planar + RPA,0.08114383821534932,0.6025159966216451,0.011972293744756305,0.05346919685960384
Planar + LH-only,0.07986774423834542,0.6040431200005264,0.010534875129962411,0.051589998309927686
Trimesh fill-all,0.07901695674816385,0.603996839098862,0.010238130878493217,0.03826331259020626
Adv-front + RPA,0.079703244345096,0.5890821615387082,0.011478369415816626,0.050983576932413455
Poisson recon,0.09736370088063694,0.602786688670537,0.028393928655764004,0.20536646997839805
