sample_id,n_boundary_loops,n_target_loops_rpa,center_fan/target_loop_length_before,center_fan/target_loop_length_after,center_fan/improvement,center_fan/closure_ratio,center_fan/n_new_vertices,center_fan/n_new_faces,center_fan/avg_new_face_quality,center_fan/min_new_face_quality,center_fan/std_new_face_quality,center_fan/n_faces_inside,center_fan/n_faces_outside,center_fan/locality_ratio,center_fan/chamfer_distance,center_fan/hausdorff_distance,center_fan/dev_mean,center_fan/dev_max,center_fan/dev_median,center_fan/dev_std,planar_removed_part_aware/target_loop_length_before,planar_removed_part_aware/target_loop_length_after,planar_removed_part_aware/improvement,planar_removed_part_aware/closure_ratio,planar_removed_part_aware/n_new_vertices,planar_removed_part_aware/n_new_faces,planar_removed_part_aware/avg_new_face_quality,planar_removed_part_aware/min_new_face_quality,planar_removed_part_aware/std_new_face_quality,planar_removed_part_aware/n_faces_inside,planar_removed_part_aware/n_faces_outside,planar_removed_part_aware/locality_ratio,planar_removed_part_aware/chamfer_distance,planar_removed_part_aware/hausdorff_distance,planar_removed_part_aware/dev_mean,planar_removed_part_aware/dev_max,planar_removed_part_aware/dev_median,planar_removed_part_aware/dev_std,planar_largest_hole_only/target_loop_length_before,planar_largest_hole_only/target_loop_length_after,planar_largest_hole_only/improvement,planar_largest_hole_only/closure_ratio,planar_largest_hole_only/n_new_vertices,planar_largest_hole_only/n_new_faces,planar_largest_hole_only/avg_new_face_quality,planar_largest_hole_only/min_new_face_quality,planar_largest_hole_only/std_new_face_quality,planar_largest_hole_only/n_faces_inside,planar_largest_hole_only/n_faces_outside,planar_largest_hole_only/locality_ratio,planar_largest_hole_only/chamfer_distance,planar_largest_hole_only/hausdorff_distance,planar_largest_hole_only/dev_mean,planar_largest_hole_only/dev_max,planar_largest_hole_only/dev_median,planar_largest_hole_only/dev_std,trimesh_fill_all/target_loop_length_before,trimesh_fill_all/target_loop_length_after,trimesh_fill_all/improvement,trimesh_fill_all/closure_ratio,trimesh_fill_all/n_new_vertices,trimesh_fill_all/n_new_faces,trimesh_fill_all/avg_new_face_quality,trimesh_fill_all/min_new_face_quality,trimesh_fill_all/std_new_face_quality,trimesh_fill_all/n_faces_inside,trimesh_fill_all/n_faces_outside,trimesh_fill_all/locality_ratio,trimesh_fill_all/chamfer_distance,trimesh_fill_all/hausdorff_distance,trimesh_fill_all/dev_mean,trimesh_fill_all/dev_max,trimesh_fill_all/dev_median,trimesh_fill_all/dev_std,open3d_poisson/target_loop_length_before,open3d_poisson/target_loop_length_after,open3d_poisson/improvement,open3d_poisson/closure_ratio,open3d_poisson/n_new_vertices,open3d_poisson/n_new_faces,open3d_poisson/avg_new_face_quality,open3d_poisson/min_new_face_quality,open3d_poisson/std_new_face_quality,open3d_poisson/n_faces_inside,open3d_poisson/n_faces_outside,open3d_poisson/locality_ratio,open3d_poisson/chamfer_distance,open3d_poisson/hausdorff_distance,open3d_poisson/dev_mean,open3d_poisson/dev_max,open3d_poisson/dev_median,open3d_poisson/dev_std,advancing_front_rpa/target_loop_length_before,advancing_front_rpa/target_loop_length_after,advancing_front_rpa/improvement,advancing_front_rpa/closure_ratio,advancing_front_rpa/n_new_vertices,advancing_front_rpa/n_new_faces,advancing_front_rpa/avg_new_face_quality,advancing_front_rpa/min_new_face_quality,advancing_front_rpa/std_new_face_quality,advancing_front_rpa/n_faces_inside,advancing_front_rpa/n_faces_outside,advancing_front_rpa/locality_ratio,advancing_front_rpa/chamfer_distance,advancing_front_rpa/hausdorff_distance,advancing_front_rpa/dev_mean,advancing_front_rpa/dev_max,advancing_front_rpa/dev_median,advancing_front_rpa/dev_std
2882,128,40,13.68542153048907,0.0,13.68542153048907,1.0,40.0,1488.0,0.2898608672387096,0.07598123816960997,0.12678667852311495,744.0,744.0,0.5,0.14393358701401246,0.7429416923212822,0.009242333828369476,0.04933109547434857,0.008622793089283596,0.005003909918129082,13.68542153048907,0.0,13.68542153048907,1.0,0.0,1408.0,0.4203713711567099,0.14830754945548602,0.20288313984742906,712.0,696.0,0.5056818181818182,0.14191544251409488,0.7429244993480996,0.00932137074876727,0.050681813032082294,0.008640251575929073,0.005123255736773154,13.68542153048907,13.245641790354195,0.439779740134874,0.032134906415203224,0.0,44.0,0.38549174195514463,0.15086631631349726,0.19961590792021727,44.0,0.0,1.0,0.145362024161401,0.7451659296594713,0.009037930860181636,0.03396529679023252,0.008452425261690988,0.004760171600022501,13.68542153048907,13.68542153048907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14886792712836,0.7450155626893721,0.009044742106403415,0.029497944291401037,0.008553020222047906,0.004693979809806538,13.68542153048907,0.0,13.68542153048907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2060586024303322,0.7230982544926073,0.07520373287764992,0.5621465063177812,0.012052335335425449,0.1421273980595188,,,,,,,,,,,,,,,,,,
40584,24,18,4.972268792069323,0.0,4.972268792069323,1.0,18.0,876.0,0.254221285984172,0.13651491298371937,0.05693571628615606,876.0,0.0,1.0,0.13658609031851238,0.6926166995757204,0.01194153768601146,0.0447597154146,0.01119699983777166,0.006234521499349713,4.972268792069323,0.0,4.972268792069323,1.0,0.0,840.0,0.31096258583102476,0.0692650628692426,0.17964757836107095,840.0,0.0,1.0,0.14075308645568238,0.68864138489227,0.01198576755554288,0.03692963328346224,0.011266925615574904,0.006183485690682976,4.972268792069323,4.666420405249511,0.30584838681981186,0.061510831294485646,0.0,50.0,0.33125593393249114,0.0692650628692426,0.20367872733154654,50.0,0.0,1.0,0.1424694592737191,0.6885207311444913,0.012120566736834294,0.04456041131140339,0.011436406106809663,0.006208375027842844,4.972268792069323,4.972268792069323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13690230029303682,0.694048668653099,0.012011917779254236,0.042819182238748324,0.011338042402063184,0.006218512333603367,4.972268792069323,0.0,4.972268792069323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1930899216501286,0.6936623286822983,0.05867210070167318,0.555840020465812,0.019574168507412767,0.09438565770023893,,,,,,,,,,,,,,,,,,
42201,32,32,19.46963136201437,0.0,19.46963136201437,1.0,32.0,1607.0,0.19834674494699756,0.0014458210601829046,0.28777629045443015,1607.0,0.0,1.0,0.10886408704278708,0.6730907939102727,0.010114816272016679,0.033744612503754955,0.00982021296970765,0.004867666554403552,19.46963136201437,0.0,19.46963136201437,1.0,0.0,1546.0,0.717200212155293,0.2946381586561131,0.10430361620600205,1546.0,0.0,1.0,0.10507466281014696,0.6740131675128836,0.01001019262747348,0.03031642917421492,0.009657375750798215,0.004877099677361822,19.46963136201437,17.62776255441462,1.8418688075997487,0.09460214080854512,0.0,146.0,0.7527112846739809,0.6115639841348874,0.03202724330136769,146.0,0.0,1.0,0.10695230571634111,0.6711920353795721,0.010131328856127797,0.03192803543739044,0.009743514533238734,0.0049452950153974495,19.46963136201437,19.46963136201437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10532452219460517,0.6706716699686623,0.010105529318622863,0.03748635154575979,0.009746218823087148,0.004884177500774805,19.46963136201437,8.26327796926974,11.206353392744628,0.5755811799605226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11462672693819304,0.680792850760017,0.01877651586520119,0.10506009103271254,0.012081115948273508,0.016956668679341914,19.46963136201437,0.0,19.46963136201437,1.0,0.0,1543.0,0.7078229952899524,0.15301211140323684,0.12249647254786736,1543.0,0.0,1.0,0.10944076076484682,0.6717264142099685,0.010201718456142763,0.03577004270138387,0.009829130675992262,0.004971642435522602
41898,32,24,2.674531794585855,0.0,2.674531794585855,1.0,24.0,534.0,0.5305982870578337,0.30238290603044565,0.09425753705771342,534.0,0.0,1.0,0.027742885687947846,0.35414469271698107,0.011241385701271304,0.05274569411660547,0.010258949586040265,0.006326455814330627,2.674531794585855,0.0,2.674531794585855,1.0,0.0,486.0,0.4880871071327894,0.13727735382158981,0.2072960337989467,486.0,0.0,1.0,0.027484824745018684,0.35717924906673004,0.011394113696631592,0.04977213432103811,0.010370731257253338,0.006312866882407218,2.674531794585855,2.674531794585855,0.0,0.0,0.0,119.0,0.3070149372010756,0.13111370627417532,0.17109068784736545,0.0,119.0,0.0,0.027371621195028076,0.35626686878393843,0.011608001244437581,0.06320011100179408,0.01061331789932915,0.006512889959814963,2.674531794585855,2.674531794585855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027468875790792283,0.3509869158710178,0.01141309140557627,0.05441119250456081,0.010425387572108157,0.006296279413526118,2.674531794585855,0.0,2.674531794585855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032001333748908574,0.4081368960854462,0.012941880279575413,0.056107442509444154,0.011693763022456036,0.007393601934108638,2.674531794585855,0.0,2.674531794585855,1.0,0.0,486.0,0.4716404454577817,0.21876741514018289,0.19931479105496014,486.0,0.0,1.0,0.02806536980426542,0.3461157103695956,0.011291899277263982,0.04229415898869285,0.010456899758975242,0.006152159136018367
39573,163,107,68.14848411192523,0.0,68.14848411192523,1.0,107.0,3826.0,0.2665026657823204,0.012321664854021381,0.22393750638772053,2639.0,1187.0,0.6897543125980136,0.05233811519630024,0.3690926556339154,0.015388095399348885,0.05730096354085708,0.013442757339065057,0.009666072799073788,68.14848411192523,0.0,68.14848411192523,1.0,0.0,3597.0,0.41583641411229677,0.05063422026413554,0.24963049455169156,2129.0,1468.0,0.5918821239922157,0.0526864249894055,0.37274136111122197,0.01446082945417269,0.061556438286581194,0.013005415358864354,0.008350227913254312,68.14848411192523,64.79201915174318,3.356464960182052,0.04925223215045382,0.0,133.0,0.20196978551581168,0.05063422026413554,0.17925671639340657,71.0,62.0,0.5338345864661654,0.047888745196262336,0.37052836911873976,0.012118729298078761,0.04109462450666706,0.011303394656905521,0.00649054507730953,68.14848411192523,67.71900730706918,0.42947680485605133,0.006302074220032372,0.0,30.0,0.8261222172406755,0.6172789011544828,0.0915931796476579,18.0,12.0,0.6,0.048677411253804516,0.3693204790158834,0.011609552323041103,0.04424217708518802,0.010789408632908188,0.006172142274861833,68.14848411192523,0.0,68.14848411192523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06454823400630516,0.3760458469052571,0.022523753083155854,0.13304827123679486,0.014134857103117817,0.0247060426872277,,,,,,,,,,,,,,,,,,
40405,52,52,54.330768949815955,0.0,54.330768949815955,1.0,52.0,2904.0,0.18875458722595614,0.0023035019329947994,0.1422634650630496,1136.0,1768.0,0.39118457300275483,0.15537148955508812,0.686842772830875,0.015022399575892405,0.08490511403149426,0.011838863315721176,0.012744717438005386,54.330768949815955,0.0,54.330768949815955,1.0,0.0,2812.0,0.3156236389491742,0.0,0.1866580083915572,1072.0,1740.0,0.3812233285917496,0.1573798443319805,0.6849830150296741,0.014615210045807698,0.08505845519645241,0.01155891899125266,0.012307754757136382,54.330768949815955,52.277673080841126,2.053095868974829,0.0377888240615778,0.0,111.0,0.2820408252981762,0.1852745845207116,0.17975038563697357,0.0,111.0,0.0,0.15440374912615246,0.6878577541724278,0.011715650523258993,0.08447129727831768,0.010821385442217554,0.006249935400404484,54.330768949815955,54.11103000257426,0.2197389472416944,0.004044465990250656,0.0,8.0,0.637390404393573,0.5439898946438219,0.09340050974975117,0.0,8.0,0.0,0.1551865674878181,0.6889343435533655,0.011447688948272514,0.03601125409454475,0.010784421190910099,0.00552336946555337,54.330768949815955,0.0,54.330768949815955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17165447074440207,0.6652663452326176,0.03384290001748373,0.26596094187583635,0.012597415562973186,0.056865797494936206,,,,,,,,,,,,,,,,,,
40125,20,20,19.298121947603946,0.0,19.298121947603946,1.0,20.0,1192.0,0.17251297538499946,0.012960158077995134,0.19861034358751187,450.0,742.0,0.3775167785234899,0.13732748390723304,0.7994632674261947,0.010642872412221947,0.041082472949828294,0.009679611439570086,0.006050985986326588,19.298121947603946,0.0,19.298121947603946,1.0,0.0,1145.0,0.5153239079120396,0.23535253752618396,0.12234675978102756,522.0,623.0,0.4558951965065502,0.13096886253732165,0.8021661214025555,0.010669494860144096,0.04199758722010996,0.00964532795686179,0.006178689212629579,19.298121947603946,18.271333345630417,1.0267886019735286,0.05320665942319924,0.0,60.0,0.480508154291235,0.40248603933115035,0.0794335798044325,15.0,45.0,0.25,0.13612661317509547,0.8009888511687753,0.010385210443534916,0.04247121781837763,0.009450862397656317,0.005802835654119114,19.298121947603946,19.298121947603946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12951490875118596,0.8006471864919209,0.010387540455264434,0.042211302448626066,0.009407078891766315,0.005838874827400298,19.298121947603946,4.6849964534259065,14.613125494178039,0.7572304462503618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1593145191066375,0.7980098406133377,0.03715677757306729,0.2731785091251025,0.015181579032745427,0.049631386871132915,19.298121947603946,0.0,19.298121947603946,1.0,0.0,1152.0,0.5192070219066056,0.2822320712657858,0.12118876973212803,522.0,630.0,0.453125,0.13401810334126624,0.7996870976713034,0.01052774376856757,0.03985042740631698,0.00955214735181731,0.005947596976758216
43101,42,42,16.24325478393941,0.0,16.24325478393941,1.0,42.0,1302.0,0.3295655641526674,0.0030575128534655917,0.2894750957868921,1302.0,0.0,1.0,0.039028459412947636,0.6592844670377859,0.009342159519679254,0.03072231197392672,0.008805557773581807,0.004752405652738,16.24325478393941,0.0,16.24325478393941,1.0,0.0,1218.0,0.6809256885323111,0.1730379125718077,0.2328607146664734,1218.0,0.0,1.0,0.03947001208140989,0.6614026606233079,0.009413142717203903,0.03154997379501026,0.008846869590510623,0.004850014534474486,16.24325478393941,14.570462824354475,1.6727919595849343,0.10298379123123247,0.0,77.0,0.8569030416376979,0.7373187897770203,0.020792416797136955,77.0,0.0,1.0,0.03957770114888013,0.6617244068374399,0.009315516936941895,0.026488422440965494,0.008752936938996893,0.004749308703961006,16.24325478393941,16.24325478393941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03921469140004996,0.6608915337667639,0.009272504618987529,0.02814806242070703,0.008651000312702835,0.004828240192763199,16.24325478393941,7.039326254823259,9.203928529116151,0.566630804696641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054600728545672245,0.6667366619652172,0.019121175139387697,0.11310509083785907,0.013165543320143348,0.015790686605084887,,,,,,,,,,,,,,,,,,
41147,20,12,0.9631921059766477,0.0,0.9631921059766477,1.0,12.0,228.0,0.4661117287036832,0.03303580004907998,0.21537386084863833,0.0,228.0,0.0,0.0844028180323053,0.837205006705439,0.008355742196177436,0.041724914402042304,0.007880819031230429,0.004485826729001177,0.9631921059766477,0.0,0.9631921059766477,1.0,0.0,204.0,0.6276802274326136,0.32133866933755634,0.20686650554715003,0.0,204.0,0.0,0.08682234772916726,0.8381306431011636,0.008375868511202065,0.03446315518066013,0.007873640041458163,0.004416825713292347,0.9631921059766477,0.9631921059766477,0.0,0.0,0.0,11.0,0.762801565486289,0.5065269877477029,0.13706007510632845,0.0,11.0,0.0,0.0832537688179941,0.8390312703462001,0.008337297369508521,0.03394191662394403,0.007838090689287945,0.004443503941700191,0.9631921059766477,0.9631921059766477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08371245157924101,0.8389496600327468,0.008319259580858435,0.03182516621402758,0.007833276454498841,0.004396832692082366,0.9631921059766477,4.9402157204564405,-3.977023614479793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10544970086269337,0.8271528790957013,0.02237140393217738,0.22262991480130173,0.01184788062506725,0.030407563586319738,0.9631921059766477,0.0,0.9631921059766477,1.0,0.0,204.0,0.6128270285971263,0.3124729613721294,0.2006493257103444,0.0,204.0,0.0,0.08499861320788525,0.8383094925377541,0.008430279160988952,0.04384471689249604,0.007855875982388148,0.004523045270354732
48065,352,216,192.60049314996655,0.0,192.60049314996655,1.0,216.0,3149.0,0.18387175657389415,0.0,0.24887803850439116,2181.0,968.0,0.6926008256589393,0.06514768290629736,0.6655749737090922,0.010455781089955507,0.03520274115455202,0.009757544238438385,0.005355181307656568,192.60049314996655,0.9975253483971528,191.6029678015694,0.9948207539239246,0.0,2702.0,0.3379137256914264,0.007167565920547252,0.25423208753325366,1806.0,896.0,0.6683937823834197,0.06512411290068755,0.6641376397052541,0.010323552537339657,0.033888086254214946,0.009713610333274083,0.005294433173248926,192.60049314996655,189.06195314996654,3.538540000000012,0.018372434785225433,0.0,8.0,0.03894998962095013,0.024172692945564855,0.013461226366648472,0.0,8.0,0.0,0.06234324029866535,0.6612662852661958,0.0101298926269342,0.03953072520199644,0.0095499475355149,0.005032560293789009,192.60049314996655,110.60234279162285,81.99815035834371,0.4257421620125169,0.0,458.0,0.42963472808749326,0.007167565920547251,0.3641228194718239,186.0,272.0,0.40611353711790393,0.06238772397516164,0.6604157834633585,0.009988123348625732,0.03215862394986182,0.009412601279055481,0.004987091119701987,192.60049314996655,0.0,192.60049314996655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07366359509682532,0.6712093259441978,0.011733453099830224,0.03631953868393268,0.011136398138921005,0.005518217527934819,192.60049314996655,0.0,192.60049314996655,1.0,0.0,2717.0,0.3340544847002609,0.003583162341006143,0.2709786818604905,1853.0,864.0,0.6820022083179977,0.0632528266557037,0.6689544410552675,0.010256302997661287,0.03333694193590422,0.009581307426033034,0.005224085229507361
