sample_id,n_boundary_loops,n_target_loops_rpa,center_fan/target_loop_length_before,center_fan/target_loop_length_after,center_fan/improvement,center_fan/closure_ratio,center_fan/n_new_vertices,center_fan/n_new_faces,center_fan/avg_new_face_quality,center_fan/min_new_face_quality,center_fan/std_new_face_quality,center_fan/n_faces_inside,center_fan/n_faces_outside,center_fan/locality_ratio,center_fan/chamfer_distance,center_fan/hausdorff_distance,center_fan/dev_mean,center_fan/dev_max,center_fan/dev_median,center_fan/dev_std,planar_removed_part_aware/target_loop_length_before,planar_removed_part_aware/target_loop_length_after,planar_removed_part_aware/improvement,planar_removed_part_aware/closure_ratio,planar_removed_part_aware/n_new_vertices,planar_removed_part_aware/n_new_faces,planar_removed_part_aware/avg_new_face_quality,planar_removed_part_aware/min_new_face_quality,planar_removed_part_aware/std_new_face_quality,planar_removed_part_aware/n_faces_inside,planar_removed_part_aware/n_faces_outside,planar_removed_part_aware/locality_ratio,planar_removed_part_aware/chamfer_distance,planar_removed_part_aware/hausdorff_distance,planar_removed_part_aware/dev_mean,planar_removed_part_aware/dev_max,planar_removed_part_aware/dev_median,planar_removed_part_aware/dev_std,planar_largest_hole_only/target_loop_length_before,planar_largest_hole_only/target_loop_length_after,planar_largest_hole_only/improvement,planar_largest_hole_only/closure_ratio,planar_largest_hole_only/n_new_vertices,planar_largest_hole_only/n_new_faces,planar_largest_hole_only/avg_new_face_quality,planar_largest_hole_only/min_new_face_quality,planar_largest_hole_only/std_new_face_quality,planar_largest_hole_only/n_faces_inside,planar_largest_hole_only/n_faces_outside,planar_largest_hole_only/locality_ratio,planar_largest_hole_only/chamfer_distance,planar_largest_hole_only/hausdorff_distance,planar_largest_hole_only/dev_mean,planar_largest_hole_only/dev_max,planar_largest_hole_only/dev_median,planar_largest_hole_only/dev_std,mlp_patch_rpa/target_loop_length_before,mlp_patch_rpa/target_loop_length_after,mlp_patch_rpa/improvement,mlp_patch_rpa/closure_ratio,mlp_patch_rpa/n_new_vertices,mlp_patch_rpa/n_new_faces,mlp_patch_rpa/avg_new_face_quality,mlp_patch_rpa/min_new_face_quality,mlp_patch_rpa/std_new_face_quality,mlp_patch_rpa/n_faces_inside,mlp_patch_rpa/n_faces_outside,mlp_patch_rpa/locality_ratio,mlp_patch_rpa/chamfer_distance,mlp_patch_rpa/hausdorff_distance,mlp_patch_rpa/dev_mean,mlp_patch_rpa/dev_max,mlp_patch_rpa/dev_median,mlp_patch_rpa/dev_std,trimesh_fill_all/target_loop_length_before,trimesh_fill_all/target_loop_length_after,trimesh_fill_all/improvement,trimesh_fill_all/closure_ratio,trimesh_fill_all/n_new_vertices,trimesh_fill_all/n_new_faces,trimesh_fill_all/avg_new_face_quality,trimesh_fill_all/min_new_face_quality,trimesh_fill_all/std_new_face_quality,trimesh_fill_all/n_faces_inside,trimesh_fill_all/n_faces_outside,trimesh_fill_all/locality_ratio,trimesh_fill_all/chamfer_distance,trimesh_fill_all/hausdorff_distance,trimesh_fill_all/dev_mean,trimesh_fill_all/dev_max,trimesh_fill_all/dev_median,trimesh_fill_all/dev_std,open3d_poisson/target_loop_length_before,open3d_poisson/target_loop_length_after,open3d_poisson/improvement,open3d_poisson/closure_ratio,open3d_poisson/n_new_vertices,open3d_poisson/n_new_faces,open3d_poisson/avg_new_face_quality,open3d_poisson/min_new_face_quality,open3d_poisson/std_new_face_quality,open3d_poisson/n_faces_inside,open3d_poisson/n_faces_outside,open3d_poisson/locality_ratio,open3d_poisson/chamfer_distance,open3d_poisson/hausdorff_distance,open3d_poisson/dev_mean,open3d_poisson/dev_max,open3d_poisson/dev_median,open3d_poisson/dev_std,advancing_front_rpa/target_loop_length_before,advancing_front_rpa/target_loop_length_after,advancing_front_rpa/improvement,advancing_front_rpa/closure_ratio,advancing_front_rpa/n_new_vertices,advancing_front_rpa/n_new_faces,advancing_front_rpa/avg_new_face_quality,advancing_front_rpa/min_new_face_quality,advancing_front_rpa/std_new_face_quality,advancing_front_rpa/n_faces_inside,advancing_front_rpa/n_faces_outside,advancing_front_rpa/locality_ratio,advancing_front_rpa/chamfer_distance,advancing_front_rpa/hausdorff_distance,advancing_front_rpa/dev_mean,advancing_front_rpa/dev_max,advancing_front_rpa/dev_median,advancing_front_rpa/dev_std
24270,85,15,36.157610359294694,0.0,36.157610359294694,1.0,15.0,2575.0,0.09040758596884102,0.003997733367612051,0.0992102330342741,290.0,2285.0,0.11262135922330097,0.0277801253686751,0.22343076103828005,0.0130643185120364,0.049893653978737317,0.01229783362145299,0.006929667292164184,36.157610359294694,0.0,36.157610359294694,1.0,0.0,2460.0,0.45731610507650594,0.0004617568924026966,0.2153833327159742,280.0,2180.0,0.11382113821138211,0.027401007047873925,0.225402774837702,0.012706621815673622,0.05214783271668894,0.011884012968492886,0.006846084187949421,36.157610359294694,30.979356612234525,5.178253747060168,0.14321338428077401,0.0,345.0,0.4539259748481209,0.0004617568924026966,0.21519691277140615,0.0,345.0,0.0,0.027215070028774147,0.22549155554843972,0.012318268576875851,0.051677803369838314,0.011659818570014606,0.006522089663105802,36.157610359294694,0.0,36.157610359294694,1.0,15.0,2575.0,0.06675554689005246,0.007765154017990804,0.058206281425311326,290.0,2285.0,0.11262135922330097,0.028679718551213387,0.22280080340062464,0.014153209313730927,0.11661859542722766,0.012559855713956215,0.009845315129032528,36.157610359294694,36.157610359294694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027457095169102337,0.2233481394891329,0.01233618759626669,0.051531625264389494,0.011668894098632029,0.006600572126784513,36.157610359294694,0.0,36.157610359294694,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03765018804282172,0.21126837815094185,0.020928756426800966,0.1084180210689503,0.014697599569482588,0.018078533167953742,,,,,,,,,,,,,,,,,,
26430,60,60,11.481977356950141,0.0,11.481977356950141,1.0,60.0,670.0,0.761806997050447,0.2910985346376185,0.14994254568105098,670.0,0.0,1.0,0.04435469709921157,0.390371039136794,0.008981462509031209,0.028718103717006054,0.008531105439532598,0.004662266860962701,11.481977356950141,0.0,11.481977356950141,1.0,0.0,550.0,0.6861807496862948,0.24497648484548717,0.16908107255003815,550.0,0.0,1.0,0.04469925230695599,0.3892182673207247,0.00886299562669421,0.030018427274627564,0.008354785954932227,0.004558602412316133,11.481977356950141,11.224126111638908,0.25785124531123316,0.022457041787767862,0.0,10.0,0.741806065491376,0.5301072690968539,0.1563566382525145,10.0,0.0,1.0,0.04535102768328842,0.39306030516283724,0.008921308077298136,0.029515681909018068,0.008457967557964644,0.004610023157908794,11.481977356950141,0.0,11.481977356950141,1.0,60.0,670.0,0.553395696885556,0.039184288287129394,0.20269318706604034,670.0,0.0,1.0,0.04488416793629195,0.3844476143682105,0.009048590986129819,0.02952165070873235,0.008481716829827866,0.004691878671244545,11.481977356950141,11.481977356950141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045112890016552665,0.39618304602866344,0.008898633490600293,0.03266488286275409,0.008303712050256684,0.0047030145906789495,11.481977356950141,5.507612392386572,5.974364964563569,0.52032544385286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06755016693123267,0.4068648515235379,0.026236434922351566,0.18869293112743724,0.014782282220508798,0.029770558262767338,11.481977356950141,0.0,11.481977356950141,1.0,0.0,550.0,0.6546424507323891,0.25489378698305426,0.1637439105795889,550.0,0.0,1.0,0.04544758117472718,0.39000125312556483,0.009021237301559943,0.03198732744509855,0.00847507306064577,0.004664844538371825
30908,20,20,41.16358738748419,0.0,41.16358738748419,1.0,20.0,2245.0,0.09498642639916133,0.010714945507015681,0.10954096647595063,2245.0,0.0,1.0,0.03252053988855932,0.16851111267993676,0.01280885449976742,0.06285881090451452,0.010534220129844746,0.009574022240981746,41.16358738748419,0.0,41.16358738748419,1.0,0.0,2215.0,0.2700718446112596,0.0,0.13084600295166338,2215.0,0.0,1.0,0.03268159618012117,0.17600042475124106,0.012911542185443145,0.06342306809590449,0.010665199538724319,0.00962261449922154,41.16358738748419,39.0260875938571,2.137499793627093,0.05192695606207054,0.0,114.0,0.2522191742314235,0.19569450002968775,0.14437706758162341,114.0,0.0,1.0,0.032725036114713044,0.1798415647628389,0.010484336787511163,0.05456264384137261,0.009784033503703672,0.005703959257736866,41.16358738748419,0.0,41.16358738748419,1.0,20.0,2245.0,0.08008910734011021,0.0045774734448693725,0.07707763701134364,2245.0,0.0,1.0,0.03594490352864272,0.18660292903643969,0.014244088637418415,0.07154721004027324,0.011260608510796109,0.011659995488062371,41.16358738748419,41.16358738748419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03339138034496961,0.19709531514108894,0.010351528351260922,0.04211584899446592,0.009714032481879319,0.00547044823089666,41.16358738748419,4.686548726437821,36.47703866104637,0.8861481949490445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03300282705332978,0.18180602817695724,0.012247528177836173,0.07433475212913998,0.010444453340672108,0.008749582708584135,41.16358738748419,0.0,41.16358738748419,1.0,0.0,2205.0,0.2573306410062025,0.09485307122183839,0.11503252899133973,2205.0,0.0,1.0,0.0331468342095121,0.17628508598177225,0.012796328247875277,0.062017248007012915,0.010594727394970528,0.009490492399930023
25724,25,25,98.97916885906767,0.0,98.97916885906767,1.0,25.0,5670.0,0.04302616224988894,0.00046220916894834066,0.10166344012296373,5670.0,0.0,1.0,0.1073618998082088,0.5988205875015993,0.012254585959458233,0.03520040024460398,0.011716641461342792,0.005756186120089706,98.97916885906767,1.563095957506098,97.41607290156158,0.9842078290258052,0.0,5590.0,0.8282853570271003,0.0,0.061537783227274885,5590.0,0.0,1.0,0.10588727557885273,0.598620788411321,0.011725683181740429,0.03823308214203634,0.01096186698439433,0.006021673558406987,98.97916885906767,89.49273486970395,9.486433989363718,0.09584273235180485,0.0,551.0,0.8287074253647243,0.0,0.06180211384915306,551.0,0.0,1.0,0.10354855360063893,0.5988728033328137,0.011562777488060364,0.032318557043022174,0.01079865417785628,0.005931909349355757,98.97916885906767,0.0,98.97916885906767,1.0,25.0,5670.0,0.04520337934682594,0.0036989757155786803,0.05004069080263954,4305.0,1365.0,0.7592592592592593,0.13092458578138977,0.5990347239067054,0.040034648569341996,0.4495631584768704,0.018449040981911163,0.0562467977070276,98.97916885906767,98.97916885906767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053240259447874,0.5985378007546565,0.01181451889815948,0.034313862727939744,0.011058390712955604,0.006149824915370914,98.97916885906767,5.458623898458627,93.52054496060904,0.9448507806098985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11801285785389296,0.606302591274423,0.016992215705751063,0.0922044218255919,0.014355641321587304,0.011703921958475362,98.97916885906767,0.0,98.97916885906767,1.0,0.0,5620.0,0.8324567442442928,0.3617637269955982,0.04545052156060714,5620.0,0.0,1.0,0.10629120304565749,0.5986377141347223,0.011932393265728177,0.03338696729306001,0.011200658469961062,0.006107919580221907
23706,34,34,69.75571217065885,0.0,69.75571217065885,1.0,34.0,3539.0,0.06875137268938881,0.0056198114209921575,0.11975460994702579,3539.0,0.0,1.0,0.07032011176184207,0.4597487664549067,0.021065847871141297,0.06355750155773697,0.013581786348855221,0.015935562557058275,69.75571217065885,1.17802,68.57769217065885,0.9831122073971813,0.0,3491.0,0.20736737337319014,0.0,0.20625127190101072,3491.0,0.0,1.0,0.07008285012001939,0.46309416089741706,0.021172241072461725,0.06231141282319734,0.013333589084675763,0.016618531821602115,69.75571217065885,64.76291607245756,4.992796098201296,0.07157544440212027,0.0,251.0,0.11453173667412002,0.03912323411644052,0.15409435355507023,251.0,0.0,1.0,0.061757036764717166,0.45594646903118746,0.011893263287507947,0.05059085063685309,0.010175927087026743,0.008067175036153331,69.75571217065885,0.0,69.75571217065885,1.0,34.0,3539.0,0.0648637605463648,0.002066091812424147,0.11041968108638021,3539.0,0.0,1.0,0.06643396513003069,0.45454647539107146,0.017241051408316277,0.09286521966427985,0.013070033646943095,0.013168971086003366,69.75571217065885,69.05401993518437,0.7016922354744821,0.010059279930477616,0.0,15.0,0.8397277927662073,0.6499015678726815,0.13884460556780157,15.0,0.0,1.0,0.05894062809787319,0.47454777381722085,0.010176091010335363,0.03145319677369855,0.009591696350686546,0.004793068022201986,69.75571217065885,6.5328184552236666,63.222893715435184,0.9063471900445803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07229650458128897,0.4764033679325335,0.015133892689346265,0.1043616988005821,0.011519987267093806,0.014056487049428803,,,,,,,,,,,,,,,,,,
19117,50,30,111.10688544310216,0.0,111.10688544310216,1.0,30.0,5985.0,0.058989546062706476,0.0002851505083748885,0.06919853019160543,910.0,5075.0,0.15204678362573099,0.023922241589312852,0.13126221195280632,0.010448258178498279,0.030290344067290843,0.010266447856457294,0.004699428554169998,111.10688544310216,0.9039762264272471,110.20290921667491,0.9918639045382099,0.0,5895.0,0.27808562111049734,0.04679852531502015,0.24978623454401225,1505.0,4390.0,0.2553011026293469,0.02354558485922876,0.11161643310387002,0.01032626715279936,0.02681653818101946,0.010184584922317223,0.004650974925343721,111.10688544310216,105.64815117336313,5.4587342697390255,0.04913047690941208,0.0,290.0,0.3653134079177179,0.11463283346401136,0.2704462877997639,68.0,222.0,0.23448275862068965,0.02348275009204598,0.10355943704074076,0.010347797151301736,0.029460394372498783,0.010175340262403961,0.004829536749969234,111.10688544310216,0.0,111.10688544310216,1.0,30.0,5985.0,0.0486350510310572,0.000401189401922484,0.0576563991206468,885.0,5100.0,0.14786967418546365,0.038381850348382866,0.17584069542253356,0.024295414984067114,0.17968708329458608,0.01364557851207789,0.029752811026159797,111.10688544310216,111.10688544310216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023358628709675783,0.10789423519421537,0.010272122748214731,0.029990722509765137,0.010124840482242539,0.004759213887376439,111.10688544310216,7.2582213657778825,103.84866407732427,0.9346735232759735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025998368300657562,0.094237131845414,0.01380150219379255,0.09094349020431956,0.011129671681223748,0.01065090776422259,111.10688544310216,0.0,111.10688544310216,1.0,0.0,5925.0,0.2603222209260232,0.0027388940675001647,0.251499725715394,1545.0,4380.0,0.2607594936708861,0.023438228993660923,0.10168281511688891,0.010361138332222722,0.02939257366482629,0.0101559622451186,0.00475157545353556
33988,20,20,5.586637276988631,0.0,5.586637276988631,1.0,20.0,245.0,0.7126054416936332,0.28637302782237006,0.1831963085979053,245.0,0.0,1.0,0.026722499268634743,0.40388272623368837,0.009305129278857625,0.030827352058396585,0.008759017318362459,0.004885562076519738,5.586637276988631,0.0,5.586637276988631,1.0,0.0,205.0,0.7206536117056658,0.3931647261908347,0.17973881924349314,205.0,0.0,1.0,0.026451634923878357,0.40231232276950474,0.00932679284606383,0.031243746391534415,0.00874077066814524,0.004878758956221372,5.586637276988631,5.24079646286853,0.34584081412010104,0.061905005994325024,0.0,13.0,0.762176232576516,0.521512954842348,0.15668586766697107,13.0,0.0,1.0,0.025891444659540575,0.39845581358608906,0.009397691997568264,0.03089768547886585,0.008766665275216797,0.00489806613495886,5.586637276988631,0.0,5.586637276988631,1.0,20.0,245.0,0.5181968587221149,0.04312307931791831,0.21908438396341703,245.0,0.0,1.0,0.026857706928705323,0.402265858723214,0.009297563029850443,0.03135948938895127,0.008692861486354942,0.0049126012382988225,5.586637276988631,5.586637276988631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026446557321454674,0.4036808308536977,0.009214859176509634,0.03229870311616717,0.008659716145406993,0.004802871341040877,5.586637276988631,5.98926406088668,-0.4026267838980493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04738337942506494,0.41460177282410715,0.023187124285982172,0.1477557590156076,0.01494289031846483,0.02242247431364706,5.586637276988631,0.0,5.586637276988631,1.0,0.0,205.0,0.6736639352984248,0.45673299203261253,0.1594601604913569,205.0,0.0,1.0,0.026312301929803612,0.40434849218092545,0.009303967063568869,0.030496983516868147,0.008743949613526068,0.004814120785673208
31840,64,21,41.1721780919489,0.0,41.1721780919489,1.0,21.0,1334.0,0.15755160165277862,0.019800434311552966,0.09955586879882741,49.0,1285.0,0.03673163418290855,0.02891629487113872,0.14684377459591202,0.016498799138543713,0.14795483491844053,0.010824747940593196,0.022009664618910695,41.1721780919489,0.0,41.1721780919489,1.0,0.0,1292.0,0.3291899595606864,0.09977297056343534,0.24049523395509345,250.0,1042.0,0.19349845201238391,0.028899474043147688,0.1416042793388895,0.016211579788951325,0.14045543194272672,0.010913182701797594,0.020840901921689862,41.1721780919489,38.60277666751083,2.5694014244380696,0.062406254502734404,0.0,84.0,0.2994689474271385,0.09977297056343534,0.21535828457667888,14.0,70.0,0.16666666666666666,0.0231241707698824,0.1420912224171646,0.011543589180083557,0.13987464352333898,0.009883177906224012,0.011357551186561402,41.1721780919489,0.0,41.1721780919489,1.0,21.0,1334.0,0.14193667683559102,0.008953466756036784,0.13010994676680232,324.0,1010.0,0.24287856071964017,0.0339793075920761,0.2240782510474335,0.02228675847266311,0.22011481976139294,0.011598570884112456,0.0345557634345055,41.1721780919489,41.1721780919489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022045089890185613,0.11409591094691111,0.01043346763777047,0.03769929984447785,0.0097645897978818,0.00549306818213499,41.1721780919489,0.0,41.1721780919489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022047660347063534,0.10388350477263845,0.010910495181741718,0.03878468058436642,0.010209601024306004,0.005607398083097708,41.1721780919489,0.0,41.1721780919489,1.0,0.0,1292.0,0.31478109975388824,0.04206680179417979,0.24102298006286282,246.0,1046.0,0.19040247678018576,0.02900712633884594,0.1385441622019737,0.016042786383302497,0.1385577363407663,0.01086106538931776,0.020375174855743677
24325,10,10,39.9065822903852,0.0,39.9065822903852,1.0,10.0,2910.0,0.03851616680165539,0.007972651593824025,0.012485509582977037,2910.0,0.0,1.0,0.06585202052157739,0.7164099605879523,0.008854953407769867,0.029649249972380144,0.00835856116651366,0.0044050909940979615,39.9065822903852,0.23937684130490972,39.66720544908029,0.9940015699775276,0.0,2885.0,0.13010025840421283,0.0293092192705439,0.19135447335571312,2885.0,0.0,1.0,0.0666501241601611,0.7163155384285281,0.008927373878431613,0.027235436071348016,0.008581400071474288,0.004326704589961702,39.9065822903852,35.689953176858374,4.216629113526828,0.10566249654866466,0.0,308.0,0.12774218890793967,0.0293092192705439,0.18382892089526084,308.0,0.0,1.0,0.06678453250082728,0.7159757384085459,0.008274374207460345,0.026473972550647172,0.00785342425495374,0.0042674178363502615,39.9065822903852,0.0,39.9065822903852,1.0,10.0,2910.0,0.03631383502583578,0.002529791491313246,0.046934473199695625,2910.0,0.0,1.0,0.07440578951035033,0.7183619489296829,0.015257225801099497,0.09281582265928769,0.010785452204496284,0.014063806045262903,39.9065822903852,39.9065822903852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06662556269008355,0.7210515574170333,0.008076814436633727,0.026054671437531717,0.0075926384116107365,0.004220385542405072,39.9065822903852,4.726284730291963,35.18029756009324,0.8815662865864943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0731815103131234,0.7008403856948655,0.01252158109329506,0.07602120621051212,0.011108024955963141,0.008540106592756343,39.9065822903852,0.0,39.9065822903852,1.0,0.0,2890.0,0.09612962719676643,0.000512852762483679,0.19190626029488736,2890.0,0.0,1.0,0.06732890106096287,0.7167739109597475,0.00839159470336202,0.027887438021306558,0.007858679356816483,0.004191971746071264
21184,25,25,110.73419495607041,0.0,110.73419495607041,1.0,25.0,3720.0,0.06565808997208081,0.0007079988154227165,0.120149053704536,3720.0,0.0,1.0,0.07354473159564202,0.38582299788169866,0.013187766698582477,0.042408567046784765,0.012731135756387216,0.006255955476435856,110.73419495607041,1.1187316534272673,109.61546330264315,0.9898971437515658,0.0,3665.0,0.8403232797573732,0.5145344064395425,0.042335380007592405,3665.0,0.0,1.0,0.07116233350483143,0.38770677738346904,0.010871296309042504,0.03848022660941768,0.010221082882139888,0.005580410375508691,110.73419495607041,99.97265671158321,10.761538244487198,0.09718351453005492,0.0,363.0,0.8370717493733449,0.5731454143558068,0.044485369195717314,363.0,0.0,1.0,0.07111462845062119,0.3881573149955624,0.011024552807577867,0.04385611125298826,0.010311673422641521,0.00576649145001737,110.73419495607041,0.0,110.73419495607041,1.0,25.0,3720.0,0.06726291400009464,0.004522289950855273,0.03610438251029851,2335.0,1385.0,0.6276881720430108,0.10351676080132668,0.3932686979537425,0.041351298724734,0.36795057256620406,0.019053417727584794,0.052798003650729175,110.73419495607041,110.73419495607041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07046393357545727,0.38731308665775227,0.011045099853066077,0.03629006138358527,0.010390152391231937,0.005736842091039098,110.73419495607041,0.0,110.73419495607041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07199980999071484,0.38790438236400265,0.010982323215282266,0.03991144121495569,0.010355225819114897,0.0056567709691957594,110.73419495607041,0.0,110.73419495607041,1.0,0.0,3670.0,0.8410993104126037,0.5393066137103723,0.034003496694288274,3670.0,0.0,1.0,0.07206384248042155,0.38667970468838386,0.011160780698937512,0.04183170474237263,0.010372979558714282,0.0058543441195232125
